run_id,_step,losses_1/entropy,charts_1/learning_rate,train/reward_2,train/reward_0,train/reward_1,_runtime,losses_1/old_approx_kl,losses_1/clipfrac,losses_1/policy_loss,eval/reward_1,losses_1/explained_variance,losses_1/value_loss,losses_1/approx_kl,eval/reward_0,_timestamp,eval/reward_2,global_step,train/grid2opsteps
4wxekmve,1664.0,3.714983959992727,0.0001625,0.0,0.4166666666666667,0.3140754172083737,2184.9283360242844,0.00698114496966203,0.14609375,-0.0950755833958586,0.30557699799889326,0.39084573835134506,0.09350004326552153,0.012846599332988262,0.3451850473985891,1721374736.304774,-0.07222222222222222,1664.0,1127.9166666666667
5nwguh94,1664.0,3.6612956523895264,0.0001625,-0.16666666666666666,0.2516121031746032,0.21638239830797068,2296.106895287832,0.022095551093419392,0.16100260416666665,-0.07568338590984543,0.2939610706296729,0.4699762240052223,0.07278778341909249,0.012141682828466097,0.3349413029100529,1721373786.7203093,-0.1111111111111111,1664.0,888.4166666666666
682sgfl7,1664.0,3.714479903380076,0.0001625,0.0,0.25,0.2184747803452307,1854.5299530426662,0.007651648794611295,0.16057942708333334,-0.0887037729844451,0.24625646366026155,0.3368285658458869,0.08984417142346501,0.014003874889264504,0.27504202491181656,1721382391.196083,-0.11944444444444445,1664.0,774.5833333333334
7m02voqu,1664.0,3.708794057369232,0.0001625,-0.16666666666666666,0.5079778439153438,0.4486488083246905,2100.890472869078,0.02168189361691475,0.16289062499999998,-0.09520233795046806,0.2797505432350304,0.3268076529105504,0.0977458228978018,0.013584233665217956,0.31880993716931216,1721384629.4653666,-0.09722222222222222,1664.0,1344.6666666666667
9qbh3p20,1664.0,3.681294778982798,0.0001625,-0.08333333333333333,0.500082671957672,0.45526772880128186,2143.5540456175804,0.02297947679956754,0.15224609375,-0.08980579177538554,0.26915780898544767,0.45891454567511875,0.0893036878357331,0.012995248505224785,0.301569389329806,1721384139.2055948,-0.07777777777777778,1664.0,1094.5
ap7tf66y,1664.0,3.7035072644551597,0.0001625,-0.16666666666666666,0.17003554894179895,0.11750980153442118,2093.131296157837,0.007339243466655414,0.15013020833333332,-0.07941422921915849,0.2573750683619618,0.4140743414560954,0.08096431630353133,0.013231913093477488,0.28796985229276895,1721379958.5497751,-0.09166666666666667,1664.0,1017.6666666666666
c7yz2bge,1280.0,3.7495255735185413,0.00019999999999999998,0.0,0.4444444444444444,0.27838524011711446,1504.6329825454288,0.00887263814608256,0.22565104166666666,-0.09997278741664356,0.2766347737683076,0.4262505935298072,0.08789522987273005,0.016628818379508123,0.31803259112286886,1721388731.9359126,-0.1037037037037037,1280.0,1300.0
cz649dc5,1664.0,3.6660738786061606,0.0001625,-0.08333333333333333,0.33523478835978837,0.24751809428854568,2244.135351598263,0.017189179236690205,0.16015625,-0.08522124402225018,0.3370169769488582,0.38738324989875156,0.09426315780729055,0.013121444421509901,0.38500881834215167,1721384649.0108874,-0.07222222222222223,1664.0,1329.1666666666667
erl71t5j,1280.0,3.7676230801476374,0.00019999999999999998,-0.2222222222222222,0.3686067019400353,0.31538174049133816,1436.688266383277,0.03711983727084266,0.21219618055555556,-0.10068418458104134,0.23774907732730988,0.38805434438917374,0.08427787241008547,0.016449830391340785,0.27948816872427984,1721387435.1475143,-0.0962962962962963,1280.0,1242.7777777777778
j00zj79r,1664.0,3.6756106416384378,0.0001625,-0.16666666666666666,0.08335400132275132,0.09616299718773837,1932.9883559147518,0.0030081626027822495,0.16350911458333334,-0.08262774348258972,0.3144878475636201,0.47641947120428085,0.08547758279989164,0.014321315723160902,0.35894579475308647,1721383473.8556988,-0.09722222222222222,1664.0,378.1666666666667
js88p6m9,1152.0,3.8026715517044067,0.0002125,0.0,0.25,0.2491541865746225,1294.5391129255295,0.0022271042689681053,0.22490234374999998,-0.10410001687705517,0.25714492398435196,0.38962945342063904,0.10974254086613655,0.016835584305226803,0.3022559110449735,1721388844.6373677,-0.08333333333333333,1152.0,1022.875
jydvwjb8,1664.0,3.686915377775828,0.0001625,-0.08333333333333333,0.16677000661375663,0.19535322508919462,2323.4779708981514,0.02679229776064555,0.16712239583333333,-0.0929812453687191,0.2604156908211946,0.43964481353759766,0.0873358150323232,0.013454046410818895,0.29335730820105815,1721373814.057953,-0.11666666666666665,1664.0,1624.75
l62v6u15,1664.0,3.671709398428599,0.0001625,-0.16666666666666666,0.17241236772486776,0.19819721707809965,2018.8465317090352,0.016937844455242157,0.17220052083333334,-0.09824012701089184,0.29162653779525616,0.4960176944732666,0.08371162367984653,0.01449275715276599,0.3337522045855379,1721373508.1927326,-0.09444444444444444,1664.0,1331.0833333333333
lc4c3y8r,1664.0,3.714324673016866,0.0001625,-0.08333333333333333,0.25202546296296297,0.24615536444016994,1941.8954835534096,0.0014287295440832775,0.14798177083333333,-0.08916076148549716,0.28112547514915326,0.3114238977432251,0.1561795137822628,0.013262250305463871,0.3109223434744268,1721378148.1329396,-0.09722222222222221,1664.0,733.5833333333334
m261cy56,1536.0,3.730607964775779,0.000175,-0.09090909090909091,0.3637040043290043,0.4052701259164868,1796.80020310662,0.0021906508640809493,0.17311789772727273,-0.10193591293963519,0.27161671136762405,0.5285439518364993,0.0803426956249909,0.014596213501962748,0.3098627645502645,1721386670.8432221,-0.09696969696969697,1536.0,1572.6363636363637
ndh4ay99,1664.0,3.6543245911598206,0.0001625,-0.25,0.2595899470899471,0.22692041946214067,2328.9234811663628,0.03150013896326224,0.17350260416666666,-0.09159331737707059,0.27082462568757953,0.42167093853155774,0.08803053169200818,0.014133195082346598,0.3050236992945326,1721379059.0950832,-0.1111111111111111,1664.0,882.0833333333334
ob857jzg,1024.0,3.8320839064461842,0.000225,-0.2857142857142857,0.14299886621315192,0.1601342180835064,1045.7222841467176,0.0298670551606587,0.2447544642857143,-0.1129403252686773,0.22199194678783157,-0.06637061493737358,0.14209028333425522,0.017867329663464,0.25295375094482236,1721387932.440603,-0.1142857142857143,1024.0,360.0
sdk0zach,1664.0,3.70050581296285,0.0001625,-0.25,0.5045056216931217,0.43347605980138987,2268.7285674214363,0.017603343352675438,0.16289062499999998,-0.08455023045341174,0.25422539425703206,0.49838658422231674,0.07627103353540103,0.01314328114191691,0.2827732308201058,1721379023.2394593,-0.09999999999999999,1664.0,1170.6666666666667
unltbvlj,1664.0,3.699267268180847,0.0001625,-0.16666666666666666,0.16677000661375663,0.14884123688191203,2184.0067109664283,0.00830593022207419,0.14342447916666667,-0.08691115646312635,0.2575314273761434,0.39794794966777164,0.09152377924571435,0.012903856113553047,0.2991243661816579,1721379684.363456,-0.08333333333333333,1664.0,597.0833333333334
zxgi1pn2,1664.0,3.654309888680776,0.0001625,-0.16666666666666666,0.2543196097883598,0.21686728492740803,2257.503357132276,0.017091003557046253,0.16565755208333333,-0.09483824639270703,0.33307944390376243,0.4776200180252393,0.08095934040223558,0.014263886647919813,0.3828634810405644,1721374982.469114,-0.07777777777777778,1664.0,1122.4166666666667
